t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
4891576,0.005,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.232,0.111,9.839
4899524,0.006,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.239,0.110,9.824
4907471,0.010,0.000,-0.000,0.003,0.000,-0.017,0.004,-0.001,-0.237,0.101,9.851
4915416,0.013,0.001,-0.000,0.004,0.000,-0.017,0.004,-0.001,-0.245,0.108,9.830
4923363,0.012,0.001,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.242,0.094,9.831
4931309,0.009,0.001,-0.000,-0.002,0.000,-0.017,0.003,-0.001,-0.243,0.093,9.853
4939255,0.006,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.229,0.098,9.835
4947205,0.007,0.000,-0.000,-0.002,0.000,-0.017,0.003,-0.001,-0.235,0.104,9.846
4955149,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.222,0.099,9.844
4963089,0.004,-0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.227,0.112,9.846
4971043,0.005,-0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.217,0.106,9.856
4978992,0.007,0.000,-0.000,0.002,0.000,-0.017,0.004,-0.001,-0.225,0.107,9.840
4986936,0.008,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.222,0.105,9.833
4994882,0.014,0.000,-0.000,0.000,0.000,-0.015,0.003,-0.002,-0.237,0.107,9.831
5002835,0.016,-0.000,-0.000,-0.005,0.000,-0.016,0.003,-0.001,-0.221,0.096,9.842
5010775,0.017,-0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.223,0.109,9.849
5018731,0.015,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.223,0.114,9.819
5026672,0.014,0.000,-0.000,0.006,0.000,-0.017,0.004,-0.002,-0.218,0.110,9.844
5034618,0.012,0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.203,0.108,9.809
5042564,0.012,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.211,0.104,9.856
5050512,0.011,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.217,0.109,9.845
5059221,0.008,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.210,0.092,9.846
5066403,0.008,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.222,0.106,9.828
5074352,0.006,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.212,0.096,9.840
5082296,0.007,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.210,0.098,9.839
